available_bike_stands,hour,surface_pressure,is_day,apparent_temperature,date
3,22,982.9857142857143,0,22.185714285714287,2023-07-05 22:00:00+00:00
8,23,984.3571428571429,0,19.2,2023-07-05 23:00:00+00:00
9,0,984.6,0,17.349999999999998,2023-07-06 00:00:00+00:00
8,1,984.5500000000001,0,17.45,2023-07-06 01:00:00+00:00
8,2,984.9499999999999,0,17.95,2023-07-06 02:00:00+00:00
9,3,984.9,0,18.0,2023-07-06 03:00:00+00:00
11,4,984.75,0,18.15,2023-07-06 04:00:00+00:00
16,5,984.8090909090909,0,18.40909090909091,2023-07-06 05:00:00+00:00
21,6,985.25,1,18.9,2023-07-06 06:00:00+00:00
21,7,985.4000000000001,1,19.95,2023-07-06 07:00:00+00:00
21,8,985.4000000000001,1,20.950000000000003,2023-07-06 08:00:00+00:00
20,9,985.9000000000001,1,21.55,2023-07-06 09:00:00+00:00
15,10,986.4000000000001,1,22.200000000000003,2023-07-06 10:00:00+00:00
15,11,986.4363636363636,1,22.872727272727275,2023-07-06 11:00:00+00:00
8,12,986.2454545454547,1,23.536363636363635,2023-07-06 12:00:00+00:00
10,13,986.1545454545455,1,23.99090909090909,2023-07-06 13:00:00+00:00
8,14,985.8818181818183,1,24.645454545454548,2023-07-06 14:00:00+00:00
7,15,985.4777777777779,1,24.87777777777778,2023-07-06 15:00:00+00:00
6,16,985.35,1,24.5,2023-07-06 16:00:00+00:00
14,17,985.0799999999999,1,24.04,2023-07-06 17:00:00+00:00
15,18,984.8909090909091,1,23.8,2023-07-06 18:00:00+00:00
9,19,985.5,0,23.75,2023-07-06 19:00:00+00:00
7,20,986.0444444444444,0,22.98888888888889,2023-07-06 20:00:00+00:00
4,21,986.5,0,21.55,2023-07-06 21:00:00+00:00
3,22,987.1285714285714,0,20.428571428571427,2023-07-06 22:00:00+00:00
1,23,987.3625,0,19.375,2023-07-06 23:00:00+00:00
0,0,987.4,0,18.95,2023-07-07 00:00:00+00:00
0,1,987.5,0,18.4,2023-07-07 01:00:00+00:00
0,2,987.6500000000001,0,18.0,2023-07-07 02:00:00+00:00
0,3,987.85,0,18.25,2023-07-07 03:00:00+00:00
2,4,987.75,0,18.0,2023-07-07 04:00:00+00:00
11,5,987.5,0,17.5625,2023-07-07 05:00:00+00:00
13,6,987.95,1,17.5,2023-07-07 06:00:00+00:00
12,7,988.925,1,17.425,2023-07-07 07:00:00+00:00
14,8,990.0499999999998,1,17.3,2023-07-07 08:00:00+00:00
13,9,990.5222222222221,1,17.344444444444445,2023-07-07 09:00:00+00:00
15,10,990.8,1,17.839999999999996,2023-07-07 10:00:00+00:00
16,11,990.85,1,19.35,2023-07-07 11:00:00+00:00
18,12,990.6600000000001,1,22.0,2023-07-07 12:00:00+00:00
17,13,990.2818181818183,1,25.10909090909091,2023-07-07 13:00:00+00:00
10,14,990.0111111111112,1,26.522222222222222,2023-07-07 14:00:00+00:00
6,15,990.0875,1,26.55,2023-07-07 15:00:00+00:00
7,16,989.8,1,26.299999999999997,2023-07-07 16:00:00+00:00
8,17,989.4,1,25.3,2023-07-07 17:00:00+00:00
11,18,989.3,1,24.35,2023-07-07 18:00:00+00:00
12,19,989.32,0,24.34,2023-07-07 19:00:00+00:00
11,20,989.25,0,21.5,2023-07-07 20:00:00+00:00
9,21,989.3857142857142,0,17.157142857142855,2023-07-07 21:00:00+00:00
7,22,989.45,0,15.15,2023-07-07 22:00:00+00:00
6,23,989.525,0,14.525,2023-07-07 23:00:00+00:00
6,0,989.8142857142857,0,14.728571428571428,2023-07-08 00:00:00+00:00
7,1,989.5285714285714,0,13.814285714285715,2023-07-08 01:00:00+00:00
8,2,989.3499999999999,0,12.65,2023-07-08 02:00:00+00:00
8,3,989.5,0,12.549999999999999,2023-07-08 03:00:00+00:00
9,4,989.5500000000001,0,12.649999999999999,2023-07-08 04:00:00+00:00
12,5,989.4,0,12.649999999999999,2023-07-08 05:00:00+00:00
13,6,989.175,1,14.45,2023-07-08 06:00:00+00:00
15,7,989.1625,1,17.75,2023-07-08 07:00:00+00:00
18,8,989.4222222222223,1,19.58888888888889,2023-07-08 08:00:00+00:00
21,9,989.7,1,21.17142857142857,2023-07-08 09:00:00+00:00
20,10,989.075,1,24.5875,2023-07-08 10:00:00+00:00
20,11,988.8799999999999,1,26.380000000000003,2023-07-08 11:00:00+00:00
16,12,988.8,1,26.9,2023-07-08 12:00:00+00:00
16,13,988.5500000000001,1,27.349999999999998,2023-07-08 13:00:00+00:00
18,14,988.3222222222222,1,27.799999999999997,2023-07-08 14:00:00+00:00
20,15,988.0200000000001,1,27.9,2023-07-08 15:00:00+00:00
20,16,987.55,1,27.35,2023-07-08 16:00:00+00:00
19,17,987.3,1,27.1,2023-07-08 17:00:00+00:00
19,18,987.25,1,26.4,2023-07-08 18:00:00+00:00
18,19,986.9499999999999,0,26.2,2023-07-08 19:00:00+00:00
15,20,986.9499999999999,0,25.299999999999997,2023-07-08 20:00:00+00:00
14,21,987.5,0,23.049999999999997,2023-07-08 21:00:00+00:00
11,22,987.9,0,22.049999999999997,2023-07-08 22:00:00+00:00
11,23,987.9499999999999,0,21.150000000000002,2023-07-08 23:00:00+00:00
10,0,988.075,0,19.9875,2023-07-09 00:00:00+00:00
10,1,988.3000000000001,0,19.650000000000002,2023-07-09 01:00:00+00:00
9,2,988.3499999999999,0,19.25,2023-07-09 02:00:00+00:00
9,3,988.3499999999999,0,19.2,2023-07-09 03:00:00+00:00
7,4,988.5285714285714,0,19.185714285714283,2023-07-09 04:00:00+00:00
7,5,988.9285714285714,0,19.071428571428573,2023-07-09 05:00:00+00:00
9,6,989.1500000000001,1,20.400000000000002,2023-07-09 06:00:00+00:00
10,7,989.2,1,22.5,2023-07-09 07:00:00+00:00
14,8,989.7714285714286,1,24.714285714285715,2023-07-09 08:00:00+00:00
14,9,990.2000000000002,1,26.549999999999997,2023-07-09 09:00:00+00:00
13,10,990.0285714285714,1,28.828571428571426,2023-07-09 10:00:00+00:00
14,11,989.9444444444445,1,31.011111111111106,2023-07-09 11:00:00+00:00
14,12,990.0,1,32.9,2023-07-09 12:00:00+00:00
13,13,989.8666666666666,1,33.4,2023-07-09 13:00:00+00:00
14,14,989.5285714285714,1,32.885714285714286,2023-07-09 14:00:00+00:00
12,15,989.3499999999999,1,32.05,2023-07-09 15:00:00+00:00
11,16,988.9000000000001,1,31.866666666666667,2023-07-09 16:00:00+00:00
10,17,988.6428571428571,1,31.314285714285713,2023-07-09 17:00:00+00:00
12,18,988.54,1,30.26,2023-07-09 18:00:00+00:00
8,19,988.4142857142857,0,29.257142857142856,2023-07-09 19:00:00+00:00
6,20,988.2999999999998,0,26.899999999999995,2023-07-09 20:00:00+00:00
5,21,988.3375,0,24.725,2023-07-09 21:00:00+00:00
6,22,988.5500000000001,0,22.850000000000005,2023-07-09 22:00:00+00:00
7,23,988.6,0,20.95,2023-07-09 23:00:00+00:00
6,0,988.5500000000001,0,19.650000000000002,2023-07-10 00:00:00+00:00
6,1,988.6999999999999,0,19.349999999999998,2023-07-10 01:00:00+00:00
6,2,988.6999999999999,0,19.3,2023-07-10 02:00:00+00:00
7,3,988.6500000000001,0,19.45,2023-07-10 03:00:00+00:00
6,4,988.5888888888888,0,19.61111111111111,2023-07-10 04:00:00+00:00
11,5,988.5444444444444,0,19.92222222222222,2023-07-10 05:00:00+00:00
19,6,988.525,1,20.9875,2023-07-10 06:00:00+00:00
21,7,988.7428571428571,1,24.87142857142857,2023-07-10 07:00:00+00:00
19,8,988.9444444444445,1,28.355555555555558,2023-07-10 08:00:00+00:00
17,9,988.9,1,30.5,2023-07-10 09:00:00+00:00
18,10,988.8444444444444,1,32.86666666666666,2023-07-10 10:00:00+00:00
19,11,988.85,1,34.65,2023-07-10 11:00:00+00:00
19,12,988.6333333333332,1,35.766666666666666,2023-07-10 12:00:00+00:00
17,13,987.6333333333332,1,35.56666666666666,2023-07-10 13:00:00+00:00
10,14,986.6999999999999,1,35.5,2023-07-10 14:00:00+00:00
7,15,986.3625,1,35.375,2023-07-10 15:00:00+00:00
7,16,986.1714285714286,1,34.271428571428565,2023-07-10 16:00:00+00:00
7,17,986.4888888888888,1,29.38888888888889,2023-07-10 17:00:00+00:00
6,18,986.7000000000002,1,25.211111111111112,2023-07-10 18:00:00+00:00
6,19,986.0857142857143,0,27.014285714285712,2023-07-10 19:00:00+00:00
6,20,986.225,0,26.9875,2023-07-10 20:00:00+00:00
1,21,986.9857142857143,0,25.32857142857143,2023-07-10 21:00:00+00:00
0,22,987.4428571428572,0,23.842857142857145,2023-07-10 22:00:00+00:00
0,23,987.0,0,23.599999999999998,2023-07-10 23:00:00+00:00
0,0,986.4666666666667,0,24.066666666666666,2023-07-11 00:00:00+00:00
0,1,986.4499999999999,0,23.850000000000005,2023-07-11 01:00:00+00:00
0,2,986.35,0,23.350000000000005,2023-07-11 02:00:00+00:00
0,3,986.2375,0,23.325,2023-07-11 03:00:00+00:00
2,4,986.0857142857142,0,23.785714285714285,2023-07-11 04:00:00+00:00
9,5,985.72,0,23.98,2023-07-11 05:00:00+00:00
11,6,985.7714285714285,1,24.785714285714285,2023-07-11 06:00:00+00:00
17,7,986.1777777777778,1,26.188888888888886,2023-07-11 07:00:00+00:00
20,8,986.6857142857143,1,28.214285714285715,2023-07-11 08:00:00+00:00
21,9,986.85,1,29.9,2023-07-11 09:00:00+00:00
21,10,986.75,1,30.75,2023-07-11 10:00:00+00:00
19,11,986.7,1,31.659999999999997,2023-07-11 11:00:00+00:00
20,12,986.4857142857144,1,33.271428571428565,2023-07-11 12:00:00+00:00
20,13,985.811111111111,1,34.17777777777778,2023-07-11 13:00:00+00:00
12,14,985.3909090909091,1,34.45454545454545,2023-07-11 14:00:00+00:00
5,15,984.9875,1,34.5625,2023-07-11 15:00:00+00:00
2,16,984.7999999999998,1,34.4,2023-07-11 16:00:00+00:00
5,17,984.2444444444443,1,33.8,2023-07-11 17:00:00+00:00
4,18,984.0222222222224,1,33.62222222222222,2023-07-11 18:00:00+00:00
1,19,983.5777777777779,0,33.266666666666666,2023-07-11 19:00:00+00:00
0,20,982.8,0,31.775,2023-07-11 20:00:00+00:00
1,21,982.9125,0,29.7625,2023-07-11 21:00:00+00:00
2,22,982.6428571428571,0,27.32857142857143,2023-07-11 22:00:00+00:00
6,23,982.5222222222221,0,25.9,2023-07-11 23:00:00+00:00
8,0,982.2999999999998,0,25.288888888888888,2023-07-12 00:00:00+00:00
11,1,981.5875,0,25.1375,2023-07-12 01:00:00+00:00
13,2,981.4,0,25.25,2023-07-12 02:00:00+00:00
13,3,981.325,0,25.1375,2023-07-12 03:00:00+00:00
14,4,981.95,0,24.8,2023-07-12 04:00:00+00:00
15,5,982.4000000000001,0,25.0,2023-07-12 05:00:00+00:00
18,6,982.5444444444444,1,24.477777777777778,2023-07-12 06:00:00+00:00
19,7,982.5090909090909,1,23.972727272727273,2023-07-12 07:00:00+00:00
15,8,981.76,1,25.14,2023-07-12 08:00:00+00:00
15,9,982.0,1,27.419999999999998,2023-07-12 09:00:00+00:00
16,10,981.8727272727273,1,27.99090909090909,2023-07-12 10:00:00+00:00
20,11,981.8222222222222,1,28.4,2023-07-12 11:00:00+00:00
21,12,982.6428571428571,1,29.142857142857142,2023-07-12 12:00:00+00:00
17,13,982.3666666666666,1,27.6,2023-07-12 13:00:00+00:00
14,14,981.4,1,28.450000000000003,2023-07-12 14:00:00+00:00
7,15,981.35,1,30.0,2023-07-12 15:00:00+00:00
7,16,981.1,1,30.40909090909091,2023-07-12 16:00:00+00:00
14,17,980.4333333333333,1,31.666666666666668,2023-07-12 17:00:00+00:00
20,18,980.5222222222224,1,32.144444444444446,2023-07-12 18:00:00+00:00
14,19,980.7000000000002,0,31.933333333333337,2023-07-12 19:00:00+00:00
4,20,980.7000000000002,0,29.133333333333333,2023-07-12 20:00:00+00:00
1,21,980.9500000000002,0,25.349999999999998,2023-07-12 21:00:00+00:00
0,22,981.5,0,23.52857142857143,2023-07-12 22:00:00+00:00
0,23,982.4499999999999,0,23.5,2023-07-12 23:00:00+00:00
0,0,982.657142857143,0,22.5,2023-07-13 00:00:00+00:00
0,1,982.2285714285715,0,21.557142857142857,2023-07-13 01:00:00+00:00
1,2,981.4,0,21.599999999999998,2023-07-13 02:00:00+00:00
1,3,981.1999999999999,0,21.5,2023-07-13 03:00:00+00:00
3,4,981.9,0,21.225,2023-07-13 04:00:00+00:00
7,5,982.45,0,20.35,2023-07-13 05:00:00+00:00
11,6,982.9888888888888,1,19.822222222222223,2023-07-13 06:00:00+00:00
13,7,983.45,1,21.3,2023-07-13 07:00:00+00:00
18,8,983.3,1,23.2,2023-07-13 08:00:00+00:00
18,9,983.375,1,23.825,2023-07-13 09:00:00+00:00
21,10,983.575,1,24.4875,2023-07-13 10:00:00+00:00
21,11,983.7,1,26.65,2023-07-13 11:00:00+00:00
20,12,983.7,1,27.37142857142857,2023-07-13 12:00:00+00:00
18,13,984.1714285714286,1,24.62857142857143,2023-07-13 13:00:00+00:00
17,14,984.3625,1,21.0125,2023-07-13 14:00:00+00:00
16,15,983.9,1,21.433333333333334,2023-07-13 15:00:00+00:00
15,16,983.4888888888888,1,22.233333333333334,2023-07-13 16:00:00+00:00
14,17,983.4555555555556,1,22.5,2023-07-13 17:00:00+00:00
13,18,984.5999999999999,1,21.400000000000002,2023-07-13 18:00:00+00:00
14,19,985.5857142857142,0,20.0,2023-07-13 19:00:00+00:00
15,20,986.3499999999999,0,19.349999999999998,2023-07-13 20:00:00+00:00
16,21,986.7714285714285,0,18.785714285714285,2023-07-13 21:00:00+00:00
16,22,986.5571428571428,0,18.142857142857142,2023-07-13 22:00:00+00:00
16,23,986.35,0,18.349999999999998,2023-07-13 23:00:00+00:00
16,0,986.25,0,18.3,2023-07-14 00:00:00+00:00
16,1,986.2999999999998,0,18.3,2023-07-14 01:00:00+00:00
16,2,986.25,0,18.2,2023-07-14 02:00:00+00:00
15,3,986.325,0,17.2125,2023-07-14 03:00:00+00:00
15,4,986.5714285714286,0,16.914285714285715,2023-07-14 04:00:00+00:00
