,date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure,bike_stands,available_bike_stands
169,2023-06-27 04:07:24+00:00,5.480941561855406,83,15.3,8.333395523540817,11.0,0.0,4.2660311593268804e+129,22,3
166,2023-06-27 04:11:59+00:00,5.4821696079353135,83,15.3,8.333395523540817,11.0,0.0,4.2660311593268804e+129,22,3
168,2023-06-27 04:20:05+00:00,5.480941561855406,83,15.3,8.333395523540817,11.0,0.0,4.2660311593268804e+129,22,5
167,2023-06-27 04:22:07+00:00,5.480941561855406,83,15.3,8.333395523540817,11.0,0.0,4.2660311593268804e+129,22,5
182,2023-06-27 04:32:12+00:00,5.6705525076910925,74,14.5,8.395809282030188,16.0,0.0,4.171789043815616e+129,22,5
181,2023-06-27 04:42:45+00:00,5.6705525076910925,74,14.5,8.395809282030188,16.0,0.0,4.171789043815616e+129,22,6
180,2023-06-27 04:49:14+00:00,5.6705525076910925,74,14.5,8.395809282030188,16.0,0.0,4.171789043815616e+129,22,8
183,2023-06-27 04:53:55+00:00,5.6705525076910925,74,14.5,8.395809282030188,16.0,0.0,4.171789043815616e+129,22,9
178,2023-06-27 04:58:45+00:00,5.6705525076910925,74,14.5,8.395809282030188,16.0,0.0,4.171789043815616e+129,22,11
179,2023-06-27 05:02:38+00:00,5.6705525076910925,74,14.5,8.395809282030188,16.0,0.0,4.171789043815616e+129,22,11
177,2023-06-27 05:12:44+00:00,5.6705525076910925,74,14.5,8.395809282030188,16.0,0.0,4.171789043815616e+129,22,11
176,2023-06-27 05:24:18+00:00,5.6705525076910925,74,14.5,8.395809282030188,16.0,0.0,4.171789043815616e+129,22,15
175,2023-06-27 05:27:46+00:00,5.669366671538175,74,14.5,8.395809282030188,16.0,0.0,4.171789043815616e+129,22,17
187,2023-06-27 05:34:19+00:00,5.619497603000194,81,15.6,8.488963785309426,41.0,0.0,4.247017803818192e+129,22,22
188,2023-06-27 05:43:13+00:00,5.619497603000194,81,15.6,8.488963785309426,41.0,0.0,4.247017803818192e+129,22,22
189,2023-06-27 05:53:18+00:00,5.619497603000194,81,15.6,8.488963785309426,41.0,0.0,4.247017803818192e+129,22,22
185,2023-06-27 06:03:24+00:00,5.619497603000194,81,15.6,8.488963785309426,41.0,0.0,4.247017803818192e+129,22,22
186,2023-06-27 06:13:28+00:00,5.619497603000194,81,15.6,8.488963785309426,41.0,0.0,4.247017803818192e+129,22,22
184,2023-06-27 06:23:33+00:00,5.619497603000194,81,15.6,8.488963785309426,41.0,0.0,4.247017803818192e+129,22,22
192,2023-06-27 06:33:38+00:00,5.902725407037277,83,17.7,9.333358135349336,65.0,0.001,4.323571678473432e+129,22,22
190,2023-06-27 06:40:18+00:00,5.902725407037277,83,17.7,9.333358135349336,65.0,0.0,4.323571678473432e+129,22,20
193,2023-06-27 06:45:37+00:00,5.902725407037277,83,17.7,9.333358135349336,65.0,0.0,4.323571678473432e+129,22,20
194,2023-06-27 06:50:50+00:00,5.902725407037277,83,17.7,9.333358135349336,65.0,0.0,4.323571678473432e+129,22,20
191,2023-06-27 06:55:26+00:00,5.902725407037277,83,17.7,9.333358135349336,65.0,0.0,4.323571678473432e+129,22,18
195,2023-06-27 06:56:22+00:00,5.902725407037277,83,17.7,9.333358135349336,65.0,0.0,4.323571678473432e+129,22,19
199,2023-06-27 07:04:00+00:00,5.902725407037277,83,17.7,9.333358135349336,65.0,0.0,4.323571678473432e+129,22,18
196,2023-06-27 07:14:05+00:00,5.902725407037277,83,17.7,9.333358135349336,63.31,0.0,4.323571678473432e+129,22,18
197,2023-06-27 07:17:19+00:00,5.902725407037277,83,17.7,9.333358135349336,65.0,0.0,4.323571678473432e+129,22,19
198,2023-06-27 07:25:09+00:00,5.902725407037281,83,17.7,9.333358135349336,65.0,0.0,4.323571678473432e+129,22,19
209,2023-06-27 07:30:36+00:00,6.0786168060593315,76,17.4,9.682613729307404,90.0,0.0,4.3043077406118376e+129,22,21
208,2023-06-27 07:34:22+00:00,6.0786168060593315,76,17.4,9.682613729307404,90.0,0.0,4.3043077406118376e+129,22,22
207,2023-06-27 07:36:14+00:00,6.0786168060593315,76,17.4,9.682613729307404,90.0,0.0,4.3043077406118376e+129,22,21
206,2023-06-27 07:44:28+00:00,6.0786168060593315,76,17.4,9.682613729307404,90.0,0.0,4.3043077406118376e+129,22,21
200,2023-06-27 07:49:48+00:00,6.0786168060593315,76,17.4,9.682613729307404,90.0,0.0,4.3043077406118376e+129,22,22
205,2023-06-27 07:54:36+00:00,6.0786168060593315,76,17.4,9.682613729307404,90.0,0.0,4.3043077406118376e+129,22,22
204,2023-06-27 08:04:41+00:00,6.0786168060593315,76,17.4,9.682613729307404,90.0,0.0,4.3043077406118376e+129,22,22
203,2023-06-27 08:09:41+00:00,6.0786168060593315,76,17.4,9.682613729307404,90.0,0.0,4.3043077406118376e+129,22,22
202,2023-06-27 08:14:46+00:00,6.0786168060593315,76,17.4,9.682613729307404,90.0,0.0,4.3043077406118376e+129,22,21
201,2023-06-27 08:27:46+00:00,6.0792465801333915,76,17.4,9.682613729307404,90.0,0.0,4.3043077406118376e+129,22,20
213,2023-06-27 08:36:37+00:00,6.294943764628127,72,17.9,10.137772121011121,91.0,0.0,4.5411148629490313e+129,22,19
210,2023-06-27 08:39:48+00:00,6.294943764628127,72,17.9,10.137772121011121,91.0,0.0,4.5411148629490313e+129,22,18
